Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
53,30777,4,124,31,31,31.0,0.0,122,122,122.0,0.0,11956.98086,194.9507749,6155.4,13458.98142,30228,3,30236,10078.66667,17449.83454,30228,4,3,3.0,0.0,3,3,80,40,129.9671833,64.98359164,31,122,57.0,44.40345332,1971.666667,0,0,0,66.5,124,-1,-1,3,20,0.0,0,0,0.0,0,0,Normal Traffic
443,2884,4,53,53,0,13.25,26.5,341,341,341.0,0.0,136615.811373093,1733.7031900139,721.0,1279.8781191973,2637,3,2884,961.3333333333,1456.1642535557,2637,3,0,0.0,0.0,0,0,140,32,1386.9625520111,346.7406380028,0,341,65.6666666667,136.5410805094,18643.4666666667,0,0,1,78.8,53,274,14472,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,73141122,8,56,20,0,7.0,5.656854249,4380,0,1934.5,2177.344966,159.4588609,0.191410791,5626240.154,17000000.0,61500000,3,71500000,10200000.0,22900000.0,61500000,3,1623756,324751.2,725447.5405,1622471,16,172,132,0.109377595,0.082033196,0,4380,777.9333333,1627.46176,2648631.781,0,0,1,833.5,56,256,229,6,20,7010.0,7010,7010,35800000.0,61500000,10100000,DDoS
443,115417660,32,845,330,0,26.40625,67.8736299095,4380,0,1216.1111111111,1159.6503851907,386.6392716678,0.5891646044,1722651.64179104,3746413.71302569,10024256,3,115417660,3723150.32258064,4831570.43800072,10048260,3,110479326,3156552.17142857,4719738.94641441,10047228,48,652,864,0.2772539315,0.3119106729,0,4380,646.7391304348,1026.2248872355,1053137.51918159,0,1,0,656.25,845,8192,980,31,20,39035.8181818182,197822,22919,10004573.6363636,10024256,9999700,Normal Traffic
443,551378,13,1204,725,0,92.6153846154,204.7508805278,1756,0,613.5,784.5085813971,11084.9544232813,38.0863944517,27568.9,43092.8555525586,144066,1,551378,45948.1666666667,48119.7297427485,144066,1,422047,60292.4285714286,85429.5916566329,195181,50,428,264,23.5772918034,14.5091026483,0,1756,277.8181818182,544.9243404332,296942.536796537,0,1,0,291.0476190476,1204,65535,123,6,32,0.0,0,0,0.0,0,0,Normal Traffic
443,61776827,18,749,440,0,41.61111111,111.6186464,1763,0,432.6666667,667.5399043,117.179861,0.534180883,1930525.844,3950866.054,10000000,6,61800000,3633931.0,4897538.57,10100000,84,61700000,4408997.857,5092884.164,10100000,48,584,488,0.291371391,0.242809492,0,1763,212.9117647,484.5565525,234795.0526,0,1,0,219.3636364,749,29200,114,3,32,186562.6667,866866,50400,10000000.0,10000000,9998363,Normal Traffic
49734,58,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,34482.75862,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,17241.37931,17241.37931,0,0,0.0,0.0,0.0,0,0,1,0.0,0,913,256,0,20,0.0,0,0,0.0,0,0,Normal Traffic
443,10251931,21,2615,573,0,124.5238095,228.049034,4125,0,1679.088889,1347.678371,7625.295176,6.437811569,157722.0154,1238575.51,9989499,3,262414,13120.7,16952.76648,43018,48,10200000,232333.3409,1505223.825,9989617,3,432,912,2.04839459,4.389416979,0,4125,1166.776119,1331.09038,1771801.601,0,1,0,1184.454545,2615,8192,27,6,20,262414.0,262414,262414,9989499.0,9989499,9989499,Normal Traffic
53,48976,2,68,34,34,34.0,0.0,158,158,158.0,0.0,7840.574975,81.67265599,16325.33333,28271.9767,48971,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,64,80,40.836328,40.836328,34,158,83.6,67.91759713,4612.8,0,0,0,104.5,68,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,86571019,6,331,313,0,55.16666667,126.3462175,5792,0,1932.5,2537.820147,137.7597277,0.138614517,7870092.636,26000000.0,86400000,1,86400000,17300000.0,38600000.0,86400000,1,86600000,17300000.0,38600000.0,86400000,49,164,200,0.069307259,0.069307259,0,5792,917.8461538,1909.545445,3646363.808,1,0,0,994.3333333,331,0,235,3,20,10998.0,10998,10998,86400000.0,86400000,86400000,DoS
